Genus,Guild1,Guild2,Guild3,References,,,
Nitrococcus,PlantBeneficial,PGP,NitrogenFixation,"Fiore, C. L., Jarett, J. K., Olson, N. D., & Lesser, M. P. (2010). Nitrogen fixation and nitrogen transformations in marine symbioses.?Trends in microbiology,?18(10), 455-463.",,,
Nitrosomonas,PlantBeneficial,PGP,NitrogenFixation,"Ibiene, A. A., Agogbua, J. U., Okonko, I. O., & Nwachi, G. N. (2012). Plant growth promoting rhizobacteria (PGPR) as biofertilizer: Effect on growth of Lycopersicum esculentus.?J Am Sci,?8(2), 318-324.",,,
Nocardia,PlantHarmful/Beneficial,Plant pathogen/PGP,IAA/Siderophores,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.","Bull, C. T., De Boer, S. H., Denny, T. P., Firrao, G., Saux, M. F. L., Saddler, G. S., ... & Takikawa, Y. (2010). Comprehensive list of names of plant pathogenic bacteria, 1980-2007.?Journal of plant pathology, 551-592.",,
Nocardioides,PlantBeneficial,PGP,IAA/NitrogenFixation/Ksolubilization,"Nafis, A., Raklami, A., Bechtaoui, N., El Khalloufi, F., El Alaoui, A., Glick, B. R., ... & Hassani, L. (2019). Actinobacteria from extreme niches in morocco and their plant growth-promoting potentials.?Diversity,?11(8), 139.",,,
Nocardiopsis,PlantBeneficial,Biocontrol/PGP,IAA,"Palaniyandi, S. A., Yang, S. H., Zhang, L., & Suh, J. W. (2013). Effects of actinobacteria on plant disease suppression and growth promotion. Applied microbiology and biotechnology, 97(22), 9621-9636.","Shan, W., Zhou, Y., Liu, H., & Yu, X. (2018). Endophytic actinomycetes from tea plants (Camellia sinensis): isolation, abundance, antimicrobial, and plant-growth-promoting activities. BioMed research international, 2018.",,
Nodularia,PlantBeneficial,Biocontrol,,"Pushparaj, B., Pelosi, E., & J邦ttner, F. (1998). Toxicological analysis of the marine cyanobacterium Nodularia harveyana.?Journal of Applied Phycology,?10(6), 527-530.",,,
Nonomuraea,PlantBeneficial,PGP,,"Hamedi, J., & Mohammadipanah, F. (2015). Biotechnological application and taxonomical distribution of plant growth promoting actinobacteria. Journal of industrial microbiology and biotechnology, 42(2), 157-171.",,,
Nostoc,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Noviherbaspirillum,PlantBeneficial,PGP,NitrogenFixation,"Raths, R. (2019). Isolation and Identification of Potential Bioinoculants based on Phosphate Solubilizing and Plant Growth Promoting Benefits.",,,
Novosphingobium,PlantBeneficial,PGP,IAA/Siderophores,"Vives-Peris, V., G車mez-Cadenas, A., & P谷rez-Clemente, R. M. (2018). Salt stress alleviation in citrus plants by plant growth-promoting rhizobacteria Pseudomonas putida and Novosphingobium sp.?Plant cell reports,?37(11), 1557-1569.","Lee, S. Y., Lee, Y. Y., & Cho, K. S. (2021). Characterization of heavy metal tolerant and plant growth-promoting rhizobacteria isolated from soil contaminated with heavy metal and diesel.?Microbiology and Biotechnology Letters,?49(3), 413-424.",,
Oceanimonas,PlantBeneficial,PGP/StressResistance,NitrogenFixation/IAA/ACC/Halotolerant,"Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants. Environmental and Experimental Botany, 178, 104124.",,,
Oceanobacillus,PlantBeneficial,PGP/StressResistance,NitrogenFixation/IAA/PSolubilization/Halotolerant,"Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants. Environmental and Experimental Botany, 178, 104124.",,,
Ochrobactrum,PlantBeneficial,PGP/StressResistance,NitrogenFixation/IAA/PSolubilization/Halotolerant,"Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants. Environmental and Experimental Botany, 178, 104124.",,,
Oerskovia,PlantBeneficial,Biocontrol/PGP,IAA/PSolubilization/Siderophores,"Yun, B. R., Roh, S. G., & Kim, S. B. (2017). Diversity and physiological properties of soil actinobacteria in Ulleung Island. Korean Journal of Microbiology, 53(4), 242-250.",,,
Oligella,PlantBeneficial,PGP,IAA,"Fernando, T. C., & Cruz, J. A. (2019). Profiling and Biochemical Endophytic Bacteria from Nypa fruticans.?Philippine Journal of Crop Science (PJCS),?44(2), 77-85.",,,
Olivibacter,PlantBeneficial,PGP,NitrogenFixation/IAA/Psolubilization,"?zdo?an, D. K., Ak?elik, N., & Ak?elik, M. (2022). Genetic diversity and characterization of plant growth-promoting effects of bacteria isolated from rhizospheric soils.?Current Microbiology,?79(5), 1-11.",,,
Orenia,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Ornithinimicrobium,PlantBeneficial,Biocontrol,,"Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants.?Environmental and Experimental Botany,?178, 104124.",,,
Oscillatoria,PlantBeneficial,PGP,IAA,"Rai, A. N., Singh, A. K., & Syiem, M. B. (2019). Plant growth-promoting abilities in cyanobacteria. In Cyanobacteria (pp. 459-476). Academic Press.",,,
Paenalcaligenes,PlantBeneficial,Biocontrol,,"Brunda, K. S., Jahagirdar, S., & Kambrekar, D. N. (2018). Antagonistic activity of bacterial endophytes against major soil borne pathogens of soybean.?J. Entomol. Zool. Stud,?6, 43-46.",,,
Paenarthrobacter,PlantBeneficial,PGPR,NitrogenFixation/IAA,"Barbaccia, P., Gaglio, R., Dazzi, C., Miceli, C., Bella, P., Lo Papa, G., Settanni, L. (2022) Plant Growth-Promoting Activities of Bacteria Isolated from an Anthropogenic Soil Located in Agrigento Province. Microorganisms, 10(11):2167.",,,
Paenibacillus,PlantHarmful/Beneficial,Plant pathogen/Biocontrol/PGP/StressResistance,NitrogenFixation/IAA/ACC/PSolubilization/Ksolubilization/Halotolerant/Siderophores,"Li, H. P., Gan, Y. N., Yue, L. J., Han, Q. Q., Chen, J., Liu, Q. M., ... & Zhang, J. L. (2022). Newly Isolated Paenibacillus monticola sp. nov., a Novel Plant Growth-Promoting Rhizobacteria Strain From High-Altitude Spruce Forests in the Qilian Mountains, China. Frontiers in microbiology, 13.","Erturk, Y., Ercisli, S., Haznedar, A., & Cakmakci, R. (2010). Effects of plant growth promoting rhizobacteria (PGPR) on rooting and root growth of kiwifruit (Actinidia deliciosa) stem cuttings. Biological Research, 43(1), 91-98.","Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome.?Science,?353(6305), 1272-1277.","Le, K. D., Kim, J., Yu, N. H., Kim, B., Lee, C. W., & Kim, J. C. (2020). Biological control of tomato bacterial wilt, kimchi cabbage soft rot, and red pepper bacterial leaf spot using Paenibacillus elgii JCK-5075.?Frontiers in plant science,?11, 775."
Paenochrobactrum,PlantBeneficial,PGP,IAA/Psolubilization/Siderophores,"Maheshwari, R., Kumar, P., Bhutani, N., & Suneja, P. (2022). Exploration of plant growth坼promoting endophytic bacteria from Pisum sativum and Cicer arietinum from South每West Haryana.?Journal of Basic Microbiology,?62(7), 857-874.",,,
Pandoraea,PlantBeneficial,PGP,PSolubilization,"Rangasamy, A., Veeranan, J., Pandiyan, I. G., Soon, W. K., Keun, Y. C., Gwang, H. H., ... & Tong, M. S. (2014). Early plant growth promotion of maize by various sulfur oxidizing bacteria that uses different thiosulfate oxidation pathway.?African Journal of Microbiology Research,?8(1), 19-27.",,,
Pannonibacter,PlantBeneficial,PGP,IAA,"Zhang, B., Chen, J., Su, Y., Sun, W., & Zhang, A. (2022). Utilization of indole-3-acetic acid每secreting bacteria in algal environment to increase biomass accumulation of ochromonas and chlorella.?BioEnergy Research,?15(1), 242-252.",,,
Pantoea,PlantHarmful/Beneficial,Plant pathogen/Biocontrol/PGP/StressResistance,IAA/Halotolerant/Ksolubilization/Siderophores,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.","Hakim, S., Naqqash, T., Nawaz, M. S., Laraib, I., Siddique, M. J., Zia, R., ... & Imran, A. (2021). Rhizosphere engineering with plant growth-promoting microorganisms for agriculture and ecological sustainability. Frontiers in Sustainable Food Systems, 5, 617157.","Bull, C. T., De Boer, S. H., Denny, T. P., Firrao, G., Saux, M. F. L., Saddler, G. S., ... & Takikawa, Y. (2010). Comprehensive list of names of plant pathogenic bacteria, 1980-2007.?Journal of plant pathology, 551-592.","Mechan Llontop, M. E., Hurley, K., Tian, L., Bernal Galeano, V. A., Wildschutte, H. K., Marine, S. C., ... & Vinatzer, B. A. (2020). Exploring rain as source of biological control agents for fire blight on apple.?Frontiers in microbiology,?11, 199."
Pasteurella,PlantBeneficial,PGP,Psolubilization/Siderophores,"Pant, R., Pandey, P., & Kotoky, R. (2016). Rhizosphere mediated biodegradation of 1, 4-dichlorobenzene by plant growth promoting rhizobacteria of Jatropha curcas.?Ecological Engineering,?94, 50-56.",,,
Pasteuria,PlantBeneficial,Biocontrol/PGP,,"Talavera, M., Mizukubo, T., Ito, K., & Aiba, S. (2002). Effect of spore inoculum and agricultural practices on the vertical distribution of the biocontrol plant-growth-promoting bacterium Pasteuria penetrans and growth of Meloidogyne incognita-infected tomato.?Biology and Fertility of Soils,?35(6), 435-440.",,,
Pediococcus,PlantBeneficial,PGP,NitrogenFixation,"Lamizadeh, E., Enayatizamir, N., & Motamedi, H. (2016). Isolation and identification of plant growth-promoting rhizobacteria (PGPR) from the rhizosphere of sugarcane in saline and non-saline soil.?International Journal of Current Microbiology and Applied Sciences,?5(10), 1072-83.",,,
Pedobacter,PlantBeneficial,PGP,,"Morais, M. C., Mucha,  ., Ferreira, H., Gon alves, B., Bacelar, E., & Marques, G. (2019). Comparative study of plant growth坼promoting bacteria on the physiology, growth and fruit quality of strawberry. Journal of the Science of Food and Agriculture, 99(12), 5341-5349.",,,
Pelobacter,PlantBeneficial,PGP,NitrogenFixation,"Nash, M. V., Anesio, A. M., Barker, G., Tranter, M., Varliero, G., Eloe-Fadrosh, E. A., et al. (2018). Metagenomic insights into diazotrophic communities across Arctic glacier forefields. FEMS Microbiol. Ecol. 94:fiy114. doi: 10.1093/femsec/fiy114",,,
Pelomonas,PlantBeneficial,PGP,IAA,"Makino, A., Nakai, R., Yoneda, Y., Toyama, T., Tanaka, Y., Meng, X. Y., ... & Tamaki, H. (2022). Isolation of Aquatic Plant Growth-Promoting Bacteria for the Floating Plant Duckweed (Lemna minor). Microorganisms, 10(8), 1564.",,,
Phaeospirillum,PlantBeneficial,PGPR,IAA/ACC/Siderophore,"Barbaccia, P., Gaglio, R., Dazzi, C., Miceli, C., Bella, P., Lo Papa, G., Settanni, L. (2022) Plant Growth-Promoting Activities of Bacteria Isolated from an Anthropogenic Soil Located in Agrigento Province. Microorganisms, 10(11):2167.",,,
Phenylobacterium,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Phormidium,PlantBeneficial,Biocontrol/PGP,IAA,"Alwathnani, H. A., & Kahkashan, P. (2013). Evaluation of antifungal potential of Dunaliella salina and Phormidium autumnale against plant pathogenic fungi. Journal of Pure and Applied Microbiology, 7(2), 1071-1077.","Younesi, H., Hassani, S. B., Ghotbi Ravandi, A. A., & Soltani, N. (2019). Plant growth promoting potential of Phormidium sp. ISC108 on seed germination, growth indices and photosynthetic efficiency of maize (Zea mays L.). Journal of Phycological Research, 3(2), 375-385.",,
Photorhabdus,PlantBeneficial,Biocontrol/PGP,Psolubilization,"Regaiolo, A., Dominelli, N., Andresen, K., & Heermann, R. (2020). The biocontrol agent and insect pathogen Photorhabdus luminescens interacts with plant roots.?Applied and environmental microbiology,?86(17), e00891-20.","Ullah, I., Khan, A. R., Park, G. S., Lim, J. H., Waqas, M., Lee, I. J., & Shin, J. H. (2013). Analysis of phytohormones and phosphate solubilization in Photorhabdus spp.?Food Science and Biotechnology,?22(1), 25-31.",,
Phyllobacterium,PlantHarmful/Beneficial,Plant pathogen/PGP,NitrogenFixation/IAA/ACC,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.","Glick, B. R., Todorovic, B., Czarny, J., Cheng, Z., Duan, J., & McConkey, B. (2007). Promotion of plant growth by bacterial ACC deaminase. Critical Reviews in Plant Sciences, 26(5-6), 227-242.",,
Phytohabitans,PlantBeneficial,PGP,,"Hamedi, J., & Mohammadipanah, F. (2015). Biotechnological application and taxonomical distribution of plant growth promoting actinobacteria. Journal of industrial microbiology and biotechnology, 42(2), 157-171.",,,
Phytomonospora,PlantBeneficial,PGP,,"Hamedi, J., & Mohammadipanah, F. (2015). Biotechnological application and taxonomical distribution of plant growth promoting actinobacteria. Journal of industrial microbiology and biotechnology, 42(2), 157-171.",,,
Planktothricoides,PlantBeneficial,PGP,IAA,"Duong, T. T., Nguyen, T. T. L., Van Dinh, T. H., Hoang, T. Q., Vu, T. N., Doan, T. O., ... & Bui, H. M. (2021). Auxin production of the filamentous cyanobacterial Planktothricoides strain isolated from a polluted river in Vietnam.?Chemosphere,?284, 131242.",,,
Planococcus,PlantBeneficial,Biocontrol/PGP/StressResistance,NitrogenFixation/IAA/PSolubilization/Halotolerant/Siderophores,"Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants. Environmental and Experimental Botany, 178, 104124.",,,
Planomicrobium,PlantBeneficial,Biocontrol/PGP/StressResistance,PSolubilization/Drought,"Khan, N., Bano, A., & Babar, M. D. (2017). The root growth of wheat plants, the water conservation and fertility status of sandy soils influenced by plant growth promoting rhizobacteria. Symbiosis, 72(3), 195-205.",,,
Planotetraspora,PlantBeneficial,PGP,,"Hamedi, J., & Mohammadipanah, F. (2015). Biotechnological application and taxonomical distribution of plant growth promoting actinobacteria. Journal of industrial microbiology and biotechnology, 42(2), 157-171.",,,
Plantactinospora,PlantBeneficial,PGP,,"Hamedi, J., & Mohammadipanah, F. (2015). Biotechnological application and taxonomical distribution of plant growth promoting actinobacteria. Journal of industrial microbiology and biotechnology, 42(2), 157-171.",,,
Plantibacter,PlantBeneficial,PGP,IAA,"Yadav, A. N., Sachan, S. G., Verma, P., & Saxena, A. K. (2015). Prospecting cold deserts of north western Himalayas for microbial diversity and plant growth promoting attributes.?Journal of bioscience and bioengineering,?119(6), 683-693.",,,
Pleomorphomonas,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Polaromonas,PlantBeneficial,PGP,ACC,"Glick, B. R., Todorovic, B., Czarny, J., Cheng, Z., Duan, J., & McConkey, B. (2007). Promotion of plant growth by bacterial ACC deaminase. Critical Reviews in Plant Sciences, 26(5-6), 227-242.","Okazaki, K., Tsurumaru, H., Hashimoto, M., Takahashi, H., Okubo, T., Ohwada, T., ... & Ikeda, S. (2021). Community analysis-based screening of plant growth-promoting bacteria for sugar beet. Microbes and environments, 36(2), ME20137.",,
Pontibacillus,PlantBeneficial,PGP,IAA/Psolubilization/Ksolubilization/Siderophores,"Yadav, A. N., Sachan, S. G., Verma, P., & Saxena, A. K. (2016). Bioprospecting of plant growth promoting psychrotrophic Bacilli from the cold desert of north western Indian Himalayas.","Debasis, M., Sne?ana, A., Panneerselvam, P., Manisha, S. A., Tanja, V., Ganeshamurthy, A. N., ... & Divya, J. (2019). Plant growth promoting microorganisms (PGPMs) helping in sustainable agriculture: current perspective.?International Journal of Agricultural Sciences and Veterinary Medicine, Bd,?7(2), 50-74.",,
Pontibacter,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Porphyrobacter,PlantBeneficial,PGP,IAA/Siderophores,"Liu, Y., Guo, J., Li, L., Asem, M. D., Zhang, Y., Mohamad, O. A., ... & Li, W. (2017). Endophytic bacteria associated with endangered plant Ferula sinkiangensis KM Shen in an arid land: diversity and plant growth-promoting traits. Journal of Arid Land, 9(3), 432-445.",,,
Prauserella,PlantBeneficial,PGP,NitrogenFixation/Ksolubilization,"Nafis, A., Raklami, A., Bechtaoui, N., El Khalloufi, F., El Alaoui, A., Glick, B. R., ... & Hassani, L. (2019). Actinobacteria from extreme niches in morocco and their plant growth-promoting potentials.?Diversity,?11(8), 139.",,,
Promicromonospora,PlantBeneficial,PGP/StressResistance,Salt,"Hamedi, J., & Mohammadipanah, F. (2015). Biotechnological application and taxonomical distribution of plant growth promoting actinobacteria. Journal of industrial microbiology and biotechnology, 42(2), 157-171.",,,
Propionispira,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Proteus,PlantBeneficial,PGP/StressResistance,IAA/Psolubilization/Siderophores/Drought,"Hakim, S., Naqqash, T., Nawaz, M. S., Laraib, I., Siddique, M. J., Zia, R., ... & Imran, A. (2021). Rhizosphere engineering with plant growth-promoting microorganisms for agriculture and ecological sustainability. Frontiers in Sustainable Food Systems, 5, 617157.",,,
Providencia,PlantBeneficial,PGP,IAA/ACC/PSolubilization/Siderophores,"MaganaAB, R. E., Melati, M., PurnamawatiC, H., & PratiwiD, E. (2020). Enrichment of Organic Manure with Plant Growth Promoting Rhizobacteria Improved the Root and Shoot Growth of Okra (Abelmoschus esculentus L.) Moench.?Journal of Tropical Crop Science Vol,?7(3).","Yadav, A. N., Sachan, S. G., Verma, P., & Saxena, A. K. (2015). Prospecting cold deserts of north western Himalayas for microbial diversity and plant growth promoting attributes.?Journal of bioscience and bioengineering,?119(6), 683-693.",,
Pseudacidovorax,PlantBeneficial,PGP,NutritionalAssimilation,"de Souza, R., Beneduzi, A., Ambrosini, A., Da Costa, P. B., Meyer, J., Vargas, L. K., ... & Passaglia, L. M. (2013). The effect of plant growth-promoting rhizobacteria on the growth of rice (Oryza sativa L.) cropped in southern Brazilian fields. Plant and soil, 366(1), 585-603.",,,
Pseudanabaena,PlantBeneficial,PGP,,"Sivalingam, K. M., & Batiri, A. (2020). Isolation and identification of some cyanobacteria and their plant growth promoting effect on wheat (Triticum aestivum L.), Ethiopia.?Journal of Science and Inclusive Development, 17-37.",,,
Pseudoalteromonas,PlantBeneficial,PGP,,"Navarro-Torre, S., Carro, L., Rodr赤guez-Llorente, I. D., Pajuelo, E., Caviedes, M.  ., Igual, J. M., ... & del Carmen Montero-Calasanz, M. (2020). Pseudoalteromonas rhizosphaerae sp. nov., a novel plant growth-promoting bacterium with potential use in phytoremediation. International journal of systematic and evolutionary microbiology, 70(5), 3287.",,,
Pseudochrobactrum,PlantBeneficial,Biocontrol/PGP,,"Fu, Y., Gao, H., Li, H., Qin, Y., Tang, W., Lu, J., ... & Liu, H. (2017). Change of growth promotion and disease resistant of wheat seedling by application of biocontrol bacterium Pseudochrobactrum kiredjianiae A4 under simulated microgravity.?Acta Astronautica,?139, 222-227.",,,
Pseudoduganella,PlantBeneficial,PGP,,"Beirinckx, S., Viaene, T., Haegeman, A., Debode, J., Amery, F., Vandenabeele, S., ... & Goormachtig, S. (2020). Tapping into the maize root microbiome to identify bacteria that promote growth under chilling conditions.?Microbiome,?8(1), 1-13.",,,
Pseudomonadaceae,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Pseudomonas,PlantHarmful/Beneficial,Plant pathogen/Biocontrol/PGP/StressResistance,NitrogenFixation/PSolubilization/Ksolubilization/IAA/ACC/Siderophores/Halotolerant,"Catara, V. (2007). Pseudomonas corrugata: plant pathogen and/or biological resource .?Molecular plant pathology,?8(3), 233-244.","Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants. Environmental and Experimental Botany, 178, 104124.",,
Pseudonocardia,PlantBeneficial,Biocontrol/PGP,,"Nimnoi, P., Pongsilp, N., & Lumyong, S. (2010). Endophytic actinomycetes isolated from Aquilaria crassna Pierre ex Lec and screening of plant growth promoters production. World Journal of Microbiology and Biotechnology, 26(2), 193-203.",,,
Pseudorhodoferax,PlantBeneficial,PGP,ACC/Siderophores,"Chimwamurombe, P. M., Gr?nemeyer, J. L., & Reinhold-Hurek, B. (2016). Isolation and characterization of culturable seed-associated bacterial endophytes from gnotobiotically grown Marama bean seedlings.?FEMS Microbiology Ecology,?92(6).",,,
Pseudoxanthomonas,PlantHarmful/Beneficial,Plant pathogen/PGP,NitrogenFixation,"Sekizuka, T., Matsui, M., Yamane, K., Takeuchi, F., Ohnishi, M., Hishinuma, A., ... & Kuroda, M. (2011). Complete sequencing of the bla NDM-1-positive IncA/C plasmid from Escherichia coli ST38 isolate suggests a possible origin from plant pathogens. PloS one, 6(9), e25334.","Huda, N. U., Tanvir, R., Badar, J., Ali, I., & Rehman, Y. (2022). Arsenic-Resistant Plant Growth Promoting Pseudoxanthomonas mexicana S254 and Stenotrophomonas maltophilia S255 Isolated from Agriculture Soil Contaminated by Industrial Effluent. Sustainability, 14(17), 10697.",,
Psychrobacter,PlantBeneficial,Biocontrol/PGP,NitrogenFixation/IAA/Ksolubilization/IAA/Siderophores,"Ma, Y., Rajkumar, M., Vicente, J. A. F., & Freitas, H. (2010). Inoculation of Ni-resistant plant growth promoting bacterium Psychrobacter sp. strain SRS8 for the improvement of nickel phytoextraction by energy crops. International journal of phytoremediation, 13(2), 126-139.","Ma, Y., Rajkumar, M., & Freitas, H. (2009). Improvement of plant growth and nickel uptake by nickel resistant-plant-growth promoting bacteria. Journal of Hazardous Materials, 166(2-3), 1154-1161.",,
Rahnella,PlantBeneficial,PGP,,"Rani, V., Bhatia, A., Nain, L., Tomar, G. S., & Kaushik, R. (2021). Methane utilizing plant growth-promoting microbial diversity analysis of flooded paddy ecosystem of India. World Journal of Microbiology and Biotechnology, 37(4), 1-22.",,,
Ralstonia,PlantHarmful/Beneficial,Plant pathogen/PGP,ACC,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.","Bull, C. T., De Boer, S. H., Denny, T. P., Firrao, G., Saux, M. F. L., Saddler, G. S., ... & Takikawa, Y. (2010). Comprehensive list of names of plant pathogenic bacteria, 1980-2007.?Journal of plant pathology, 551-592.",,
Raoultella,PlantBeneficial,Biocontrol/PGP,,"Musheer, N., Ashraf, S., Choudhary, A., Jamil, A., Kumar, M., & Saeed, S. (2021). Potential of Plant Growth-Promoting Microbes in Disease Reduction by Influencing the Antioxidant Enzymes of Medicinal and Spice Plants. In?Antioxidants in Plant-Microbe Interaction?(pp. 221-250). Springer, Singapore.","Susilawati, L., Iwai, N., Komatsu, K., & Arie, T. (2021). Antifungal activity of bacteria isolated from Japanese frog skin against plant pathogenic fungi.?Biological Control,?153, 104498.",,
Rathayibacter,PlantHarmful/Beneficial,Plant pathogen/Biocontrol,,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.","Bull, C. T., De Boer, S. H., Denny, T. P., Firrao, G., Saux, M. F. L., Saddler, G. S., ... & Takikawa, Y. (2010). Comprehensive list of names of plant pathogenic bacteria, 1980-2007.?Journal of plant pathology, 551-592.","Shurigin, V., Alaylar, B., Davranov, K., Wirth, S., Bellingrath-Kimura, S. D., & Egamberdieva, D. (2021). Diversity and biological activity of culturable endophytic bacteria associated with marigold (Calendula officinalis L.).?AIMS microbiology,?7(3), 336.",
Rheinheimera,PlantBeneficial,Biocontrol/PGP,IAA,"Presta, L., Bosi, E., Fondi, M., Maida, I., Perrin, E., Miceli, E., ... & Fani, R. (2017). Phenotypic and genomic characterization of the antimicrobial producer Rheinheimera sp. EpRS3 isolated from the medicinal plant Echinacea purpurea: insights into its biotechnological relevance.?Research in microbiology,?168(3), 293-305.","Raval, V. H., & Saraf, M. (2020). Biosynthesis and purification of indole-3-acetic acid by halotolerant rhizobacteria isolated from Little Runn of Kachchh.?Biocatalysis and Agricultural Biotechnology,?23, 101435.",,
Rhizobium,PlantHarmful/Beneficial,Plant pathogen/Biocontrol/PGP/StressResistance,NitrogenFixation/IAA/ACC/PSolubilization/Halotolerant,"Naik, K., Mishra, S., Srichandan, H., Singh, P. K., & Sarangi, P. K. (2019). Plant growth promoting microbes: Potential link to sustainable agriculture and environment. Biocatalysis and Agricultural Biotechnology, 21, 101326.","Bull, C. T., De Boer, S. H., Denny, T. P., Firrao, G., Saux, M. F. L., Saddler, G. S., ... & Takikawa, Y. (2010). Comprehensive list of names of plant pathogenic bacteria, 1980-2007.?Journal of plant pathology, 551-592.",,
Rhodanobacter,PlantBeneficial,Biocontrol/PGP,,"Lee, S. A., Kanth, B. K., Kim, H. S., Kim, T. W., Sang, M. K., Song, J., & Weon, H. Y. (2019). Complete genome sequence of the plant growth-promoting endophytic bacterium Rhodanobacter glycinis T01E-68 isolated from tomato (Solanum lycopersicum L.) plant roots. The Microbiological Society of Korea, 55(4), 422-424.","Dawwam, G. E., Elbeltagy, A., Emara, H. M., Abbas, I. H., & Hassan, M. M. (2013). Beneficial effect of plant growth promoting bacteria isolated from the roots of potato plant. Annals of Agricultural Sciences, 58(2), 195-201.",,
Rhodobacter,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Rhodococcus,PlantHarmful/Beneficial,Plant pathogen/Biocontrol,NitrogenFixation/IAA/ACC/Psolubilization/Siderophores,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.","Mashiane, R. A., Ezeokoli, O. T., Adeleke, R. A., & Bezuidenhout, C. C. (2017). Metagenomic analyses of bacterial endophytes associated with the phyllosphere of a Bt maize cultivar and its isogenic parental line from South Africa. World Journal of Microbiology and Biotechnology, 33(4), 1-12.","Bull, C. T., De Boer, S. H., Denny, T. P., Firrao, G., Saux, M. F. L., Saddler, G. S., ... & Takikawa, Y. (2010). Comprehensive list of names of plant pathogenic bacteria, 1980-2007.?Journal of plant pathology, 551-592.",
Rhodocyclus,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Rhodoferax,PlantBeneficial,PGP,NitrogenFixation,"Zhang, Z., Liu, H., Liu, X., Chen, Y., Lu, Y., Shen, M., ... & Li, J. (2022). Organic fertilizer enhances rice growth in severe saline每alkali soil by increasing soil bacterial diversity. Soil Use and Management, 38(1), 964-977.",,,
Rhodopila,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Rhodopirellula,PlantBeneficial,PGP,PSolubilization,"dos Santos, J. P. R. (2018). Use of environmental bacteria as plant growth promoters.",,,
